date,employment_level_thousands,average_weekly_hours,real_average_hourly_earnings_1982_84_dollars,job_openings_rate_pct,hires_rate_pct,quits_rate_pct,layoffs_discharges_rate_pct,business_application_intensity_per_10000_employees,high_propensity_application_share,planned_wage_application_share,node_id,node_name
2010-01-01,666.0,43.4,12.40988008533804,1.2,3.5,1.2,1.4,9.45945945945946,0.3476190476190476,0.21428571428571427,N01,Mining and Logging
2010-01-01,5580.0,37.5,11.550062532185684,1.0,5.5,1.8,4.8,34.17921146953405,0.6780096476510067,0.2468540268456376,N02,Construction
2010-01-01,11447.0,39.9,10.639667475906716,1.3,2.0,0.7,1.2,4.011531405608456,0.514808362369338,0.27656794425087106,N03,Manufacturing
2010-01-01,24433.0,34.1,8.975207827558302,1.8,3.2,1.4,1.3,18.7009372569885,0.45791385800577783,0.21104350871049637,N04,"Trade, Transportation, and Utilities"
2010-01-01,2739.0,36.6,13.74328698594865,3.0,2.3,0.5,1.3,17.155896312522817,0.34220046818472016,0.1732283464566929,N05,Information
2010-01-01,7733.0,36.8,12.386890311189584,2.2,2.1,1.1,0.8,26.73994568731411,0.3276912660798917,0.13342683044781894,N06,Financial Activities
2010-01-01,16627.0,35.4,12.48344736261311,2.7,4.6,2.0,2.3,27.550971311721895,0.39741098910694406,0.1948961994367919,N07,Professional and Business Services
2010-01-01,19829.0,32.8,10.299418818509526,3.0,2.3,1.2,0.9,8.931867466841494,0.6187115352041105,0.278696855061826,N08,Private Education and Health Services
2010-01-01,12932.0,25.6,6.0371146913852725,2.1,5.1,2.9,2.1,14.52443550881534,0.6977053718788266,0.36607570675610923,N09,Leisure and Hospitality
2010-01-01,5325.0,31.8,9.214301478702273,2.8,3.0,1.3,1.6,37.35586854460094,0.2783028353106777,0.1956062738789463,N10,Other Services
2010-02-01,674.0,43.0,12.499942470809689,1.9,3.6,1.1,1.2,8.560830860534125,0.31542461005199307,0.21143847487001732,N01,Mining and Logging
2010-02-01,5500.0,36.5,11.620896442855104,1.3,5.1,1.5,4.7,33.97090909090909,0.6795654035538429,0.2473239135088846,N02,Construction
2010-02-01,11439.0,39.6,10.691224727426697,1.4,2.2,0.9,1.3,4.005594894658624,0.5237887385421214,0.28219118288956785,N03,Manufacturing
2010-02-01,24421.0,33.9,8.988360694216246,1.9,3.2,1.7,1.3,18.755169730969246,0.4702414741714336,0.21507794419457665,N04,"Trade, Transportation, and Utilities"
2010-02-01,2737.0,36.5,13.866836032602942,2.7,2.0,1.0,0.8,17.369382535622947,0.3443416070677324,0.1743794699200673,N05,Information
2010-02-01,7726.0,36.8,12.430907442436293,1.9,2.2,1.1,0.9,26.555785658814393,0.32178193693035045,0.13101330603889458,N06,Financial Activities
2010-02-01,16646.0,35.1,12.550568158283513,2.5,4.6,1.9,2.3,27.923825543674155,0.3931199173873758,0.18996600834731725,N07,Professional and Business Services
2010-02-01,19843.0,32.7,10.350651920784605,2.6,2.4,1.2,0.9,8.803608325354029,0.6403343064857748,0.2782071097372488,N08,Private Education and Health Services
2010-02-01,12927.0,25.7,6.024456809385081,2.0,4.7,2.9,1.7,14.812408138005724,0.690672655107583,0.3560685189053687,N09,Leisure and Hospitality
